,Solution,Rows,Cols,Threads,Time (s),Speedup,Efficiency
72,Thread Pool API,40,100000,4.0,109.9854,3.9236557215775916,0.9809139303943979
73,Parallel,40,100000,6.0,78.063664,5.528114130025974,0.9213523550043291
74,Thread Pool API,40,100000,6.0,78.078428,5.527068808301315,0.9211781347168858
75,Parallel,40,100000,8.0,80.821451,5.339483994168826,0.6674354992711032
76,Thread Pool API,40,100000,8.0,75.604307,5.707939945802294,0.7134924932252867
77,Parallel,40,100000,12.0,72.951498,5.915503530852787,0.49295862757106557
78,Thread Pool API,40,100000,12.0,72.907583,5.919066662791441,0.4932555552326201
79,Parallel,40,100000,16.0,71.494434,6.036062107995708,0.37725388174973173
80,Thread Pool API,40,100000,16.0,71.243887,6.057289434530713,0.37858058965816954
81,Parallel,40,100000,24.0,69.218632,6.2345185325245955,0.25977160552185813
82,Thread Pool API,40,100000,24.0,69.11086,6.244240688077098,0.26017669533654575
83,Parallel,40,100000,36.0,73.189613,5.8962580386919115,0.16378494551921977
84,Thread Pool API,40,100000,36.0,72.811003,5.92691799617154,0.164636611004765
85,Sequential,50,100000,,539.337742,1.0,1.0
86,Parallel,50,100000,2.0,271.176518,1.988880696521076,0.994440348260538
87,Thread Pool API,50,100000,2.0,271.694737,1.9850871899664368,0.9925435949832184
88,Parallel,50,100000,4.0,142.791883,3.777089640312398,0.9442724100780995
89,Thread Pool API,50,100000,4.0,142.621886,3.7815917116675912,0.9453979279168978
90,Parallel,50,100000,6.0,100.16182,5.384663956785131,0.8974439927975219
91,Thread Pool API,50,100000,6.0,100.159588,5.3847839509882975,0.8974639918313829
92,Parallel,50,100000,8.0,107.807425,5.002788462854021,0.6253485578567526
93,Thread Pool API,50,100000,8.0,92.463221,5.832997554779105,0.7291246943473881
94,Parallel,50,100000,12.0,93.347723,5.777727883089339,0.48147732359077827
95,Thread Pool API,50,100000,12.0,93.321585,5.779346139481022,0.4816121782900851
96,Parallel,50,100000,16.0,93.20837,5.7863659883763665,0.3616478742735229
97,Thread Pool API,50,100000,16.0,92.891426,5.8061089728561175,0.36288181080350734
98,Parallel,50,100000,24.0,93.456542,5.771000407868719,0.2404583503278633
99,Thread Pool API,50,100000,24.0,92.619432,5.823159679925483,0.24263165333022843
100,Parallel,50,100000,36.0,86.26361,6.2522046318256335,0.17367235088404537
101,Thread Pool API,50,100000,36.0,86.610407,6.227170159816938,0.17297694888380385
102,Sequential,60,100000,,647.645314,1.0,1.0
103,Parallel,60,100000,2.0,325.466365,1.9898993679423678,0.9949496839711839
104,Thread Pool API,60,100000,2.0,325.927432,1.9870843949091097,0.9935421974545549
105,Parallel,60,100000,4.0,164.899533,3.927514543052102,0.9818786357630255
106,Thread Pool API,60,100000,4.0,165.027356,3.9244724614020963,0.9811181153505241
